id,name,genres,emotions
1,Последний богатырь (2017),Приключения | Комедия | Фэнтези,веселое
2,Солнцепёк (2023),Комедия | Драма,веселое
3,История игрушек (1995),Приключения | Мультфильм | Детский | Комедия | Фэнтези,веселое
4,1+1 (2011),Biography | Комедия | Драма,веселое
5,Старики-греки 2 (1995),Комедия | Романтика,веселое
6,Форрест Гамп (1994),Комедия | Драма | Романтика,веселое
7,Паразиты (2019),Комедия | Драма | Триллер,веселое
8,Жди меня дома (1995),Комедия | Драма | Романтика,веселое
9,Невеста отца 2 (1995),Комедия,веселое
10,Джентльмены (2019),Боевик | Комедия | Криминал,веселое
