id,name,genres,emotions
1,История игрушек: Большой побег (2010),Мультфильм | Приключения | Детский | Комедия | Фэнтези,веселое|волшебное|лёгкое|приключенческое|семейное
2,ВАЛЛ-И (2008),Мультфильм | Приключения | Детский | Фантастика,лёгкое|приключенческое|семейное|футуристическое
3,Ходячий замок (2004),Мультфильм | Приключения | Детский | Фэнтези | Романтика,волшебное|лёгкое|приключенческое|романтическое|семейное
4,Суперсемейка (2004),Мультфильм | Боевик | Приключения | Детский | Комедия,веселое|динамичное|лёгкое|приключенческое|семейное
5,Головоломка (2015),Мультфильм | Приключения | Детский | Комедия | Драма | Family | Фэнтези,веселое|волшебное|лёгкое|приключенческое|семейное|эмоциональное
6,Человек-паук: Через вселенные (2018),Мультфильм | Боевик | Приключения | Фантастика,динамичное|лёгкое|приключенческое|футуристическое
7,Ральф против интернета (2018),Мультфильм | Приключения | Детский | Комедия | Фэнтези,веселое|волшебное|лёгкое|приключенческое|семейное
8,История игрушек 4 (2019),Мультфильм | Приключения | Детский | Комедия | Фэнтези,веселое|волшебное|лёгкое|приключенческое|семейное
9,Холодное сердце 2 (2019),Мультфильм | Приключения | Детский | Комедия | Фэнтези | Мюзикл,веселое|волшебное|лёгкое|музыкальное|приключенческое|семейное
10,Душа (2020),Мультфильм | Приключения | Детский | Комедия | Драма | Фэнтези | Music,веселое|волшебное|лёгкое|приключенческое|семейное|эмоциональное
