product_id,title,genres
1,"История игрушек (1995)","Adventure|Animation|Children|Comedy|Fantasy"
2,"Джуманджи (1995)","Adventure|Children|Fantasy"
3,"Старики-греки 2 (1995)","Comedy|Romance"
4,"Жди меня дома (1995)","Comedy|Drama|Romance"
5,"Невеста отца 2 (1995)","Comedy"
6,"Хитрость (1995)","Action|Crime|Thriller"
7,"Сабрина (1995)","Comedy|Romance"
8,"Том и Гекк (1995)","Adventure|Children"
9,"Внезапная смерть (1995)","Action"
10,"Золотой глаз (1995)","Action|Adventure|Thriller"
11,"Американский президент (1995)","Comedy|Drama|Romance"
12,"Дракула: Мёртвый и довольный (1995)","Comedy|Horror"
13,"Балто (1995)","Adventure|Animation|Children"
14,"Никсон (1995)","Drama"
15,"Остров сокровищ (1995)","Action|Adventure|Romance"
16,"Казино (1995)","Crime|Drama"
17,"Разум и чувства (1995)","Drama|Romance"
18,"Семь (1995)","Crime|Mystery|Thriller"
19,"Американский космонавт (1995)","Comedy|Drama"
20,"Красотка (1995)","Comedy|Romance"
21,"Матрица (1999)","Action|Sci-Fi|Thriller"
22,"Крёстный отец (1972)","Crime|Drama"
23,"Крёстный отец 2 (1974)","Crime|Drama"
24,"Тёмный рыцарь (2008)","Action|Crime|Drama|Thriller"
25,"Побег из Шоушенка (1994)","Crime|Drama"
26,"Список Шиндлера (1993)","Drama|War"
27,"Форрест Гамп (1994)","Comedy|Drama|Romance"
28,"Бойцовский клуб (1999)","Drama|Thriller"
29,"Инцепция (2010)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller"
30,"Звёздные войны: Эпизод IV (1977)","Action|Adventure|Fantasy|Sci-Fi"
31,"Титаник (1997)","Drama|Romance"
32,"Аватар (2009)","Action|Adventure|Fantasy|Sci-Fi"
33,"Гладиатор (2000)","Action|Adventure|Drama"
34,"Пираты Карибского моря (2003)","Action|Adventure|Fantasy"
35,"Гарри Поттер и философский камень (2001)","Adventure|Children|Fantasy"
36,"Властелин колец: Братство кольца (2001)","Adventure|Fantasy"
37,"Начало (2010)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller"
38,"Интерстеллар (2014)","Adventure|Drama|Sci-Fi"
39,"Джокер (2019)","Crime|Drama|Thriller"
40,"Паразиты (2019)","Comedy|Drama|Thriller"
41,"1+1 (2011)","Biography|Comedy|Drama"
42,"Волк с Уолл-стрит (2013)","Biography|Comedy|Crime|Drama"
43,"Мстители (2012)","Action|Adventure|Sci-Fi"
44,"Человек-паук: Вдали от дома (2019)","Action|Adventure|Sci-Fi"
45,"Хищник (1987)","Action|Sci-Fi|Thriller"
46,"Чужой (1979)","Horror|Sci-Fi"
47,"Терминатор 2 (1991)","Action|Sci-Fi"
48,"Назад в будущее (1985)","Adventure|Comedy|Sci-Fi"
49,"Кинг-Конг (2005)","Action|Adventure|Drama|Fantasy|Thriller"
50,"Алиса в Стране чудес (2010)","Adventure|Family|Fantasy"
51,"Мстители: Финал (2019)","Action|Adventure|Drama|Sci-Fi"
52,"Хоббит: Нежданное путешествие (2012)","Adventure|Fantasy"
53,"Хоббит: Пустошь Смауга (2013)","Adventure|Fantasy"
54,"Хоббит: Битва пяти воинств (2014)","Adventure|Fantasy|War"
55,"Гарри Поттер и Тайная комната (2002)","Adventure|Children|Fantasy"
56,"Гарри Поттер и узник Азкабана (2004)","Adventure|Children|Fantasy"
57,"Гарри Поттер и Кубок огня (2005)","Adventure|Children|Fantasy"
58,"Гарри Поттер и Орден Феникса (2007)","Adventure|Children|Fantasy"
59,"Гарри Поттер и Принц-полукровка (2009)","Adventure|Children|Fantasy"
60,"Гарри Поттер и Дары Смерти. Часть 1 (2010)","Adventure|Children|Fantasy|Mystery"
61,"Гарри Поттер и Дары Смерти. Часть 2 (2011)","Adventure|Children|Fantasy|Mystery"
62,"Маленькие женщины (2019)","Drama|Romance"
63,"Омерзительная восьмёрка (2015)","Crime|Drama|Mystery|Western"
64,"Сплит (2016)","Horror|Thriller"
65,"Прочь (2017)","Horror|Mystery|Thriller"
66,"Дюнкерк (2017)","Action|Drama|Thriller|War"
67,"Лига справедливости (2017)","Action|Adventure|Fantasy|Sci-Fi"
68,"Чудо-женщина (2017)","Action|Adventure|Fantasy|Sci-Fi|War"
69,"Логан (2017)","Action|Drama|Sci-Fi|Thriller"
70,"Звёздные войны: Последние джедаи (2017)","Action|Adventure|Fantasy|Sci-Fi"
71,"Звёздные войны: Скайуокер. Восход (2019)","Action|Adventure|Fantasy|Sci-Fi"
72,"Звёздные войны: Солдаты Республики (2005)","Action|Adventure|Animation|Sci-Fi"
73,"Звёздные войны: Атака клонов (2002)","Action|Adventure|Sci-Fi"
74,"Звёздные войны: Месть ситхов (2005)","Action|Adventure|Sci-Fi"
75,"Гравитация (2013)","Drama|Sci-Fi|Thriller"
76,"Грань будущего (2014)","Action|Adventure|Sci-Fi"
77,"Марсианин (2015)","Adventure|Drama|Sci-Fi"
78,"Пассажиры (2016)","Drama|Romance|Sci-Fi"
79,"Прибытие (2016)","Drama|Sci-Fi"
80,"Бегущий по лезвию 2049 (2017)","Drama|Mystery|Sci-Fi|Thriller"
81,"Доктор Стрэндж (2016)","Action|Adventure|Fantasy|Sci-Fi"
82,"Чёрная Пантера (2018)","Action|Adventure|Sci-Fi"
83,"Капитан Марвел (2019)","Action|Adventure|Sci-Fi"
84,"Человек-паук: Паутина вселенных (2018)","Animation|Action|Adventure|Sci-Fi"
85,"Хищные птицы (2020)","Action|Adventure|Crime"
86,"Джентльмены (2019)","Action|Comedy|Crime"
87,"Довод (2020)","Action|Sci-Fi|Thriller"
88,"007: Нет времени умирать (2021)","Action|Adventure|Thriller"
89,"Дюна (2021)","Adventure|Drama|Sci-Fi"
90,"Шазам! (2019)","Action|Comedy|Fantasy"
91,"Джокер: Безумие на двоих (2024)","Animation|Comedy|Crime|Musical"
92,"Оппенгеймер (2023)","Biography|Drama|History"
93,"Барби (2023)","Adventure|Comedy|Fantasy"
94,"Дюна: Часть вторая (2024)","Adventure|Drama|Sci-Fi"
95,"Брат (1997)","Crime|Drama|Thriller"
96,"Брат 2 (2000)","Crime|Drama|Thriller"
97,"9 рота (2005)","Drama|War"
98,"Война миров Z (2013)","Action|Adventure|Horror|Sci-Fi"
