product_id,title,genres,emotions
1,История игрушек (1995),Adventure|Animation|Children|Comedy|Fantasy,веселое
2,Джуманджи (1995),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
3,Старики-греки 2 (1995),Comedy|Romance,веселое
4,Жди меня дома (1995),Comedy|Drama|Romance,веселое
5,Невеста отца 2 (1995),Comedy,веселое
6,Хитрость (1995),Action|Crime|Thriller,динамичное|напряжённое
7,Сабрина (1995),Comedy|Romance,веселое
8,Том и Гекк (1995),Adventure|Children,приключенческое|семейное
9,Внезапная смерть (1995),Action,динамичное
10,Золотой глаз (1995),Action|Adventure|Thriller,динамичное|напряжённое|приключенческое
11,Американский президент (1995),Comedy|Drama|Romance,веселое
12,Дракула: Мёртвый и довольный (1995),Comedy|Horror,веселое
13,Балто (1995),Adventure|Animation|Children,лёгкое|приключенческое|семейное
14,Никсон (1995),Drama,эмоциональное
15,Остров сокровищ (1995),Action|Adventure|Romance,динамичное|приключенческое|романтическое
16,Казино (1995),Crime|Drama,напряжённое|эмоциональное
17,Разум и чувства (1995),Drama|Romance,романтическое
18,Семь (1995),Crime|Mystery|Thriller,загадочное|напряжённое
19,Американский космонавт (1995),Comedy|Drama,веселое
20,Красотка (1995),Comedy|Romance,веселое
21,Матрица (1999),Action|Sci-Fi|Thriller,динамичное|напряжённое|футуристическое
22,Крёстный отец (1972),Crime|Drama,напряжённое|эмоциональное
23,Крёстный отец 2 (1974),Crime|Drama,напряжённое|эмоциональное
24,Тёмный рыцарь (2008),Action|Crime|Drama|Thriller,динамичное|напряжённое|эмоциональное
25,Побег из Шоушенка (1994),Crime|Drama,напряжённое|эмоциональное
26,Список Шиндлера (1993),Drama|War,драматичное|эмоциональное
27,Форрест Гамп (1994),Comedy|Drama|Romance,веселое
28,Бойцовский клуб (1999),Drama|Thriller,напряжённое|эмоциональное
29,Инцепция (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,динамичное|загадочное|напряжённое|футуристическое|эмоциональное
30,Звёздные войны: Эпизод IV (1977),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
31,Титаник (1997),Drama|Romance,романтическое
32,Аватар (2009),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
33,Гладиатор (2000),Action|Adventure|Drama,динамичное|приключенческое|эмоциональное
34,Пираты Карибского моря (2003),Action|Adventure|Fantasy,волшебное|динамичное|приключенческое
35,Гарри Поттер и философский камень (2001),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
36,Властелин колец: Братство кольца (2001),Adventure|Fantasy,волшебное|приключенческое
37,Начало (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,динамичное|загадочное|напряжённое|футуристическое|эмоциональное
38,Интерстеллар (2014),Adventure|Drama|Sci-Fi,приключенческое|футуристическое|эмоциональное
39,Джокер (2019),Crime|Drama|Thriller,напряжённое|эмоциональное
40,Паразиты (2019),Comedy|Drama|Thriller,веселое
41,1+1 (2011),Biography|Comedy|Drama,веселое
42,Волк с Уолл-стрит (2013),Biography|Comedy|Crime|Drama,веселое
43,Мстители (2012),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
44,Человек-паук: Вдали от дома (2019),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
45,Хищник (1987),Action|Sci-Fi|Thriller,динамичное|напряжённое|футуристическое
46,Чужой (1979),Horror|Sci-Fi,страшное|футуристическое
47,Терминатор 2 (1991),Action|Sci-Fi,динамичное|футуристическое
48,Назад в будущее (1985),Adventure|Comedy|Sci-Fi,веселое
49,Кинг-Конг (2005),Action|Adventure|Drama|Fantasy|Thriller,волшебное|динамичное|напряжённое|приключенческое|эмоциональное
50,Алиса в Стране чудес (2010),Adventure|Family|Fantasy,волшебное|приключенческое
51,Мстители: Финал (2019),Action|Adventure|Drama|Sci-Fi,динамичное|приключенческое|футуристическое|эмоциональное
