product_id,title,genres,emotions
1,Гарри Поттер и узник Азкабана (2004),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
2,Человек-паук 2 (2004),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
3,Суперсемейка (2004),Animation|Action|Adventure|Children|Comedy,веселое|динамичное|лёгкое|приключенческое|семейное
4,Мастер и Маргарита (2024),Drama|Fantasy|Romance,волшебное|романтическое|эмоциональное
5,Ходячий замок (2004),Animation|Adventure|Children|Fantasy|Romance,волшебное|лёгкое|приключенческое|романтическое|семейное
6,Убить Билла 2 (2004),Action|Crime|Thriller,динамичное|напряжённое
7,Отступники (2006),Crime|Drama|Thriller,напряжённое|эмоциональное
8,Пираты Карибского моря: Сундук мертвеца (2006),Action|Adventure|Fantasy,волшебное|динамичное|приключенческое
9,Престиж (2006),Drama|Mystery|Sci-Fi|Thriller,загадочное|напряжённое|футуристическое|эмоциональное
10,Последний богатырь (2017),Adventure|Comedy|Fantasy,веселое|волшебное|приключенческое
11,Лёд (2018),Drama|Romance|Sport,динамичное|романтическое|эмоциональное
12,ВАЛЛ-И (2008),Animation|Adventure|Children|Sci-Fi,лёгкое|приключенческое|семейное|футуристическое
13,Миллионер из трущоб (2008),Drama|Romance,романтическое|эмоциональное
14,Железный человек (2008),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
15,Чебурашка (2023),Adventure|Children|Comedy|Family,веселое|приключенческое|семейное
16,1+1 (2011),Biography|Comedy|Drama,веселое|эмоциональное
17,История игрушек: Большой побег (2010),Animation|Adventure|Children|Comedy|Fantasy,веселое|волшебное|лёгкое|приключенческое|семейное
18,Железный человек 2 (2010),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
19,Холоп (2019),Comedy,веселое
20,Алиса в Стране чудес (2010),Adventure|Family|Fantasy,волшебное|приключенческое
21,Один дома (1990),Comedy|Children,веселое|семейное
22,Тор (2011),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
23,Первый мститель (2011),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
24,Гарри Поттер и Дары Смерти. Часть 2 (2011),Adventure|Children|Fantasy|Mystery,волшебное|загадочное|приключенческое|семейное
25,Миссия невыполнима: Протокол Фантом (2011),Action|Adventure|Thriller,динамичное|напряжённое|приключенческое
26,Мстители (2012),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
27,Хоббит: Нежданное путешествие (2012),Adventure|Fantasy,волшебное|приключенческое
28,Жизнь Пи (2012),Adventure|Drama|Fantasy,волшебное|приключенческое|эмоциональное
29,Джанго освобождённый (2012),Drama|Western,приключенческое|эмоциональное
30,007: Координаты Скайфолл (2012),Action|Adventure|Thriller,динамичное|напряжённое|приключенческое
31,Гравитация (2013),Drama|Sci-Fi|Thriller,напряжённое|футуристическое|эмоциональное
32,Ёлки последние (2018),Comedy,веселое
33,Железный человек 3 (2013),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
34,Тор 2: Царство тьмы (2013),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
35,Волк с Уолл-стрит (2013),Biography|Comedy|Crime|Drama,веселое|напряжённое|эмоциональное
36,Интерстеллар (2014),Adventure|Drama|Sci-Fi,приключенческое|футуристическое|эмоциональное
